2011/04/28.1130.40 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 132.68.237.35, 2011-04-28 11:30:40 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1146.41 FAILED FILTERING HEURISTICS (pnode1.pdcc-ntu.singaren.net.sg, 132.68.237.35, 2011-04-28 11:46:41 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>true, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1150.35 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-28 11:50:35 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1252.50 FAILED FILTERING HEURISTICS (plnode-03.gpolab.bbn.com, 88.255.65.219, 2011-04-28 12:52:50 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1256.33 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 88.255.65.219, 2011-04-28 12:56:33 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1258.20 FAILED FILTERING HEURISTICS (planetlab1.eecs.ucf.edu, 88.255.65.219, 2011-04-28 12:58:20 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1258.21 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 88.255.65.219, 2011-04-28 12:58:21 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1302.42 FAILED FILTERING HEURISTICS (planetlab-01.kusa.ac.jp, 88.255.65.219, 2011-04-28 13:02:42 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1308.34 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-28 13:08:34 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1318.25 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 88.255.65.219, 2011-04-28 13:18:25 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1358.48 FAILED FILTERING HEURISTICS (planetlab-01.kusa.ac.jp, 88.255.65.219, 2011-04-28 13:58:48 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1400.35 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 88.255.65.219, 2011-04-28 14:00:35 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1401.41 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 88.255.65.219, 2011-04-28 14:01:41 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1401.42 FAILED FILTERING HEURISTICS (planetlab1.eecs.ucf.edu, 88.255.65.219, 2011-04-28 14:01:42 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1408.08 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 88.255.65.219, 2011-04-28 14:08:08 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>true, :historical_tr_not_reach=>false}
2011/04/28.1422.47 FAILED FILTERING HEURISTICS (planetlab1.cs.colorado.edu, 88.255.65.219, 2011-04-28 14:22:47 -0700): {:destination_pingable=>false, :direction=>false, :forward_meas_empty=>false, :tr_reach=>false, :no_hist=>true, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1426.05 FAILED FILTERING HEURISTICS (planetlab1.eecs.ucf.edu, 133.15.59.2, 2011-04-28 14:26:05 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1435.23 FAILED FILTERING HEURISTICS (plnode-03.gpolab.bbn.com, 133.15.59.2, 2011-04-28 14:35:23 -0700): {:destination_pingable=>true, :direction=>true, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1441.14 FAILED FILTERING HEURISTICS (planetlab-2.sjtu.edu.cn, 88.255.65.219, 2011-04-28 14:41:14 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1441.22 FAILED FILTERING HEURISTICS (planetlab-2.sjtu.edu.cn, 88.255.65.219, 2011-04-28 14:41:22 -0700): {:destination_pingable=>false, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1443.41 FAILED FILTERING HEURISTICS (plnode-03.gpolab.bbn.com, 88.255.65.219, 2011-04-28 14:43:41 -0700): {:destination_pingable=>false, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1443.42 FAILED FILTERING HEURISTICS (planetlab1.eecs.ucf.edu, 88.255.65.219, 2011-04-28 14:43:42 -0700): {:destination_pingable=>false, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1443.42 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 88.255.65.219, 2011-04-28 14:43:42 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1448.54 FAILED FILTERING HEURISTICS (pnode1.pdcc-ntu.singaren.net.sg, 88.255.65.219, 2011-04-28 14:48:54 -0700): {:destination_pingable=>false, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>true, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
2011/04/28.1450.28 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 88.255.65.219, 2011-04-28 14:50:28 -0700): {:destination_pingable=>true, :direction=>false, :forward_meas_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :tr_reached_last_hop=>false, :historical_tr_not_reach=>false}
