2011/04/21.2225.37 FAILED FILTERING HEURISTICS (pl1.6test.edu.cn, 133.15.59.2, 2011-04-21 22:25:37 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/21.2225.38 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 133.15.59.2, 2011-04-21 22:25:38 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/21.2225.59 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 133.15.59.2, 2011-04-21 22:25:59 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/21.2226.11 FAILED FILTERING HEURISTICS (plgmu4.ite.gmu.edu, 133.15.59.2, 2011-04-21 22:26:11 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/21.2306.13 FAILED FILTERING HEURISTICS (planetlab2.netmedia.gist.ac.kr, 88.255.65.219, 2011-04-21 23:06:13 -0700): {:dp=>false, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/21.2330.39 FAILED FILTERING HEURISTICS (plgmu4.ite.gmu.edu, 88.255.65.219, 2011-04-21 23:30:39 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.0416.02 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 04:16:02 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.0453.38 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 04:53:38 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1008.39 FAILED FILTERING HEURISTICS (planetlab-node3.it-sudparis.eu, 133.15.59.2, 2011-04-22 10:08:39 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1008.39 FAILED FILTERING HEURISTICS (planetlab1.nvlab.org, 133.15.59.2, 2011-04-22 10:08:39 -0700): {:dp=>true, :dir=>true, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
2011/04/22.1010.31 FAILED FILTERING HEURISTICS (planetlab2.eecs.umich.edu, 204.141.216.42, 2011-04-22 10:10:31 -0700): {:dp=>true, :dir=>false, :f_empty=>false, :tr_reach=>true, :no_hist=>false, :no_ping=>false, :last_hop=>false, :htr_not_reach=>false}
